id,Name
1,Lean
2,IT purchasing
3,Furniture purchasing
4,Project management
5,Bid writing
6,KPIs
7,Data analysis
8,Report writing
9,Software evaluation
10,Requirements gathering
11,Customer services
12,Customer enquiries
